id,cname,party,party_name,party_id,eu_position,eu_salience,eu_dissent,eu_benefit,eu_ep,eu_intmark,eu_cohesion,eu_foreign,eu_turkey,eu_budgets,lrgen,lrecon,lrecon_salience,galtan,galtan_salience,spendvtax,deregulation,redistribution,econ_interven,civlib_laworder,sociallifestyle,religious_principle,immigrate_policy,multiculturalism,urban_rural,environment,regions,international_security,ethnic_minorities,nationalism,antielite_salience,corrupt_salience,first_most_important,second_most_important,third_most_important
4,bel,1,PS,102,in favor,3,2,benefited,strongly in favor,in favor,strongly in favor,in favor,somewhat in favor,in favor,2,2,9,2,3,1,2,1,1,4,2,1,2,1,4,3,8,8,1,2,1,2,public services vs taxes,redistribution,state intervention
6,bel,1,PS,102,in favor,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bel,1,PS,102,in favor,2,1,benefited,strongly in favor,in favor,,in favor,,somewhat opposed,3,3,8,2,2,2,3,3,3,2,2,2,3,3,,5,8,5,4,,1,,public services vs taxes,redistribution,state intervention
1,bel,1,PS,102,somewhat in favor,5,7,neither benefit/lost,somewhat in favor,somewhat in favor,in favor,in favor,somewhat in favor,somewhat opposed,2,2,9,3,5,4,1,2,1,2,1,strongly opposes religious principles in politics,5,3,4,3,2,5,2,2,5,4,public services vs taxes,redistribution,deregulation
2,bel,1,PS,102,in favor,2,,benefited,strongly in favor,somewhat in favor,in favor,strongly in favor,in favor,neutral,3,2,7,4,2,3,2,2,2,2,1,1,2,2,,3,8,7,1,3,4,1,public services vs taxes,redistribution,state intervention
3,bel,1,PS,102,strongly in favor,4,2,benefited,in favor,somewhat opposed,in favor,somewhat in favor,in favor,somewhat in favor,3,3,9,6,4,2,2,1,,1,2,1,2,1,2,5,7,4,2,2,2,2,redistribution,public services vs taxes,decentralization
3,bel,2,SPA,103,strongly in favor,4,2,benefited,in favor,somewhat opposed,in favor,somewhat in favor,in favor,somewhat in favor,4,4,9,4,4,4,2,2,,2,1,1,3,2,2,4,6,4,3,2,2,2,redistribution,public services vs taxes,state intervention
6,bel,2,SPA,103,in favor,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bel,2,SPA,103,in favor,2,1,benefited,strongly in favor,in favor,,in favor,,somewhat opposed,3,3,8,2,2,2,3,3,3,2,2,2,3,3,,5,8,5,4,,1,,public services vs taxes,redistribution,state intervention
1,bel,2,SPA,103,somewhat in favor,6,7,neither benefit/lost,in favor,somewhat in favor,in favor,in favor,somewhat in favor,somewhat opposed,3,3,9,2,5,4,3,2,2,3,1,strongly opposes religious principles in politics,5,3,1,3,2,5,3,2,5,7,redistribution,public services vs taxes,deregulation
2,bel,2,SPA,103,in favor,2,,benefited,strongly in favor,somewhat in favor,in favor,strongly in favor,in favor,neutral,2,2,7,3,6,2,2,1,2,1,1,1,2,2,,2,6,7,1,3,4,1,public services vs taxes,redistribution,state intervention
4,bel,2,SPA,103,in favor,5,3,benefited,strongly in favor,in favor,strongly in favor,strongly in favor,somewhat in favor,in favor,3,2,9,2,,2,3,2,2,4,2,1,4,2,4,3,8,8,2,2,1,2,public services vs taxes,redistribution,state intervention
5,bel,3,ECOLO,104,in favor,2,1,benefited,strongly in favor,in favor,,in favor,,opposed,3,3,8,2,2,2,2,2,3,2,2,2,2,2,,2,8,5,2,,2,,enviornment,public services vs taxes,redistribution
